ID: 2020-03-06 17:09:33.827734	Date: 2020-03-06 17:09:33	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	0.0000	0.0000	1.0000	6.2230
1	0.0000	0.0000	1.0000	11.5402
2	0.0000	0.0000	0.9829	18.2242
3	0.0000	0.0000	0.8682	23.4091
4	0.0000	0.0000	0.9336	28.6980
5	0.0000	0.0000	0.8572	34.1885
6	0.0000	0.0000	0.9284	40.0252
7	0.0000	0.0000	0.9013	46.3243
8	0.0000	0.0000	0.9492	51.5959
9	0.0000	0.0000	0.9362	56.7849
10	0.0000	0.0000	1.0000	62.6969
11	0.0000	0.0000	1.0000	68.4874
12	0.0000	0.0000	0.8966	73.7104
13	0.0000	0.0000	0.7906	78.9664
14	0.0000	0.0000	0.9117	84.2896
15	0.0000	0.0000	0.7406	89.4859
16	0.0000	0.0000	0.7759	95.2728
17	0.0000	0.0000	0.8891	103.7760
18	0.0000	0.0000	0.8485	109.1189
19	0.0000	0.0000	0.8020	114.2895
20	0.0000	0.0000	0.8593	121.7360
21	0.0000	0.0000	0.8814	129.0231
22	0.0000	0.0000	0.9076	134.5732
23	0.0000	0.0000	0.9465	139.8556
24	0.0000	0.0000	0.9168	145.8590
25	0.0000	0.0000	0.8979	151.0625
26	0.0000	0.0000	0.9013	156.3435
27	0.0000	0.0000	0.8367	161.8645
28	0.0000	0.0000	0.6945	167.7442
29	0.0000	0.0000	0.7742	173.4331
30	0.0000	0.0000	0.7657	178.5960
31	0.0000	0.0000	0.7678	184.8209
32	0.0000	0.0000	0.7039	189.9951
33	0.0000	0.0000	0.6193	195.1964
34	0.0000	0.0000	0.6024	200.7511
35	0.0000	0.0000	0.5250	206.7583
36	0.0000	0.0000	0.5616	213.3708
37	0.0000	0.0000	0.6164	218.6928
38	0.0000	0.0000	0.6141	225.3878
39	0.0000	0.0000	0.6084	231.4095
40	0.0000	0.0000	0.6871	237.5882
41	0.0000	0.0000	0.6854	243.3512
42	0.0000	0.0000	0.6481	249.1913
43	0.0000	0.0000	0.6964	255.9018
44	0.0000	0.0000	0.6311	261.4319
45	0.0000	0.0000	0.5863	266.7491
46	0.0000	0.0000	0.5396	272.9218
47	0.0000	0.0000	0.4500	278.8758
48	0.0000	0.0000	0.3766	284.4770
49	0.0000	0.0000	0.4030	290.0774
50	0.0000	0.0000	0.4277	296.8113
51	0.0000	0.0000	0.5046	302.7146
52	0.0000	0.0000	0.5475	307.9150
53	0.0000	0.0000	0.4474	314.0819
54	0.0000	0.0000	0.4620	320.0490
55	0.0000	0.0000	0.5397	325.5870
56	0.0000	0.0000	0.5689	331.2697
57	0.0000	0.0000	0.7169	337.8835
58	0.0000	0.0000	0.6932	343.3056
59	0.0000	0.0000	0.7893	348.5773
Pos: [179, 22, -60, 0.9351971259084797]

Run: 1
Iter	Gbest	AvrFit	Diver	ETime	
0	0.0000	0.0000	1.0000	6.2969
1	0.0000	0.0000	1.0000	11.9617
2	0.0000	0.0000	0.9985	17.9303
3	0.0000	0.0000	1.0000	23.6986
4	0.0000	0.0000	1.0000	28.9588
5	0.0000	0.0000	0.9869	34.1465
6	0.0000	0.0000	0.9392	39.7398
7	0.0000	0.0000	0.9565	45.4929
8	0.0000	0.0000	0.8495	51.3000
9	0.0000	0.0000	0.9257	56.5073
10	0.0000	0.0000	0.9635	61.6593
11	0.0000	0.0000	1.0000	67.6842
12	0.0000	0.0000	0.8374	72.8409
13	0.0000	0.0000	0.9091	78.0892
14	0.0000	0.0000	0.9544	84.0924
15	0.0000	0.0000	1.0000	89.8726
16	0.0000	0.0000	0.8898	95.1097
17	0.0000	0.0000	0.9621	100.3575
18	0.0000	0.0000	0.8463	105.5346
19	0.0000	0.0000	0.8714	110.8041
20	0.0000	0.0000	0.8942	115.9673
21	0.0000	0.0000	0.8487	121.1669
22	0.0000	0.0000	0.9201	126.4389
23	0.0000	0.0000	0.8809	131.6140
24	0.0000	0.0000	0.7694	136.8792
25	0.0000	0.0000	0.8036	142.0598
26	0.0000	0.0000	0.6962	147.3498
27	0.0000	0.0000	0.6700	152.5385
28	0.0000	0.0000	0.7466	157.7201
29	0.0000	0.0000	0.8542	162.9734
30	0.0000	0.0000	0.9625	168.0913
31	0.0000	0.0000	0.8346	173.3971
32	0.0000	0.0000	0.9271	179.5721
33	0.0000	0.0000	0.9392	185.7965
34	0.0000	0.0000	0.9786	190.9854
35	0.0000	0.0000	0.9691	196.2507
36	0.0000	0.0000	0.9007	202.8434
37	0.0000	0.0000	0.9313	209.1286
38	0.0000	0.0000	0.9626	214.4585
39	0.0000	0.0000	1.0000	219.7702
40	0.0000	0.0000	1.0000	226.0354
41	0.0000	0.0000	1.0000	231.2939
42	0.0000	0.0000	0.8962	236.4733
43	0.0000	0.0000	0.8517	242.6794
44	0.0000	0.0000	0.8691	249.1620
45	0.0000	0.0000	0.8724	254.5207
46	0.0000	0.0000	0.9081	259.7525
47	0.0000	0.0000	0.8987	266.5670
48	0.0000	0.0000	0.9192	271.8198
49	0.0000	0.0000	0.8251	277.0059
50	0.0000	0.0000	0.7816	282.5387
51	0.0000	0.0000	0.7321	288.8763
52	0.0000	0.0000	0.8181	294.6000
53	0.0000	0.0000	0.8216	299.7656
54	0.0000	0.0000	0.8032	305.4631
55	0.0000	0.0000	0.7598	310.6208
56	0.0000	0.0000	0.7781	315.8822
57	0.0000	0.0000	0.7767	321.1198
58	0.0000	0.0000	0.7287	326.6740
59	0.0000	0.0000	0.8062	332.4275
Pos: [179, 22, -22.155620409521823, 0.5439667949314538]

Run: 2
Iter	Gbest	AvrFit	Diver	ETime	
0	0.0000	0.0000	1.0000	5.6276
1	0.0000	0.0000	1.0000	10.7903
2	0.0000	0.0000	1.0000	15.9333
3	0.0000	0.0000	0.9696	22.1684
4	0.0000	0.0000	0.8156	27.3206
5	0.0000	0.0000	0.8933	32.6459
6	0.0000	0.0000	0.9184	38.2645
7	0.0000	0.0000	0.7559	44.1654
8	0.0000	0.0000	0.8627	49.5253
9	0.0000	0.0000	0.8961	54.7659
10	0.0000	0.0000	0.8892	59.9627
11	0.0000	0.0000	0.8999	65.1951
12	0.0000	0.0000	0.8714	70.3771
13	0.0000	0.0000	0.8371	77.4276
14	0.0000	0.0000	0.7481	83.6332
15	0.0000	0.0000	0.8690	88.8839
16	0.0000	0.0000	0.8406	94.5549
17	0.0000	0.0000	0.8135	101.9199
18	0.0000	0.0000	0.7680	108.0465
19	0.0000	0.0000	0.8881	113.2965
20	0.0000	0.0000	0.9656	119.4844
21	0.0000	0.0000	0.9359	126.1563
22	0.0000	0.0000	0.8846	131.3450
23	0.0000	0.0000	0.9131	136.8196
24	0.0000	0.0000	0.8398	143.1427
25	0.0000	0.0000	0.6960	150.0080
26	0.0000	0.0000	0.6530	155.7155
27	0.0000	0.0000	0.7090	161.0751
28	0.0000	0.0000	0.6926	167.3973
29	0.0000	0.0000	0.6977	172.6813
30	0.0000	0.0000	0.5898	177.8789
31	0.0000	0.0000	0.5684	184.6404
32	0.0000	0.0000	0.5575	190.6729
33	0.0000	0.0000	0.4968	196.2645
34	0.0000	0.0000	0.4250	201.4911
35	0.0000	0.0000	0.4863	206.6677
36	0.0000	0.0000	0.4999	211.9825
37	0.0000	0.0000	0.5303	217.1459
38	0.0000	0.0000	0.5065	222.3213
39	0.0000	0.0000	0.5162	227.4778
40	0.0000	0.0000	0.4459	232.6272
41	0.0000	0.0000	0.4983	237.8418
42	0.0000	0.0000	0.4842	242.9938
43	0.0000	0.0000	0.6025	248.2398
44	0.0000	0.0000	0.4850	253.4153
45	0.0000	0.0000	0.4795	258.5912
46	0.0000	0.0000	0.5531	263.8195
47	0.0000	0.0000	0.5242	269.0723
48	0.0000	0.0000	0.4932	274.2586
49	0.0000	0.0000	0.5702	279.4266
50	0.0000	0.0000	0.4745	285.8646
51	0.0000	0.0000	0.4671	291.1074
52	0.0000	0.0000	0.4302	296.3693
53	0.0000	0.0000	0.4516	302.0682
54	0.0000	0.0000	0.4810	307.6758
55	0.0000	0.0000	0.4960	312.9685
56	0.0000	0.0000	0.5380	318.2619
57	0.0000	0.0000	0.5552	323.4072
58	0.0000	0.0000	0.5584	328.6040
59	0.0000	0.0000	0.5890	333.7584
Pos: [179, 22, 46.108270753878, 1.5]

Run: 3
Iter	Gbest	AvrFit	Diver	ETime	
0	0.0000	0.0000	1.0000	5.6784
1	0.0000	0.0000	1.0000	10.8669
2	0.0000	0.0000	1.0000	16.8664
3	0.0000	0.0000	1.0000	22.5964
4	0.0000	0.0000	0.9724	27.8542
5	0.0000	0.0000	0.9033	33.0126
6	0.0000	0.0000	0.9580	38.3270
7	0.0000	0.0000	1.0000	43.5245
8	0.0000	0.0000	0.9647	48.7268
9	0.0000	0.0000	0.9333	54.0485
10	0.0000	0.0000	0.8580	59.2465
11	0.0000	0.0000	0.8501	64.5714
12	0.0000	0.0000	0.7276	69.7584
13	0.0000	0.0000	0.6880	75.0396
14	0.0000	0.0000	0.6549	80.2267
15	0.0000	0.0000	0.6516	85.4933
16	0.0000	0.0000	0.7337	90.7228
17	0.0000	0.0000	0.7423	97.6627
18	0.0000	0.0000	0.8177	102.8173
19	0.0000	0.0000	0.8370	108.0048
20	0.0000	0.0000	0.6805	113.4868
21	0.0000	0.0000	0.7508	119.3168
22	0.0000	0.0000	0.7512	125.1197
23	0.0000	0.0000	0.8279	130.3070
24	0.0000	0.0000	0.8697	135.5524
25	0.0000	0.0000	0.9502	141.9685
26	0.0000	0.0000	0.9254	147.5706
27	0.0000	0.0000	0.8704	152.7498
28	0.0000	0.0000	0.9608	157.9409
29	0.0000	0.0000	0.9577	163.5120
30	0.0000	0.0000	0.9155	169.7547
31	0.0000	0.0000	0.8782	175.3490
32	0.0000	0.0000	0.8865	180.5334
33	0.0000	0.0000	0.8857	185.8330
34	0.0000	0.0000	0.8922	190.9988
35	0.0000	0.0000	0.8974	196.2514
36	0.0000	0.0000	0.8629	201.4954
37	0.0000	0.0000	0.9060	206.7304
38	0.0000	0.0000	0.8793	211.9081
