;;;;;;;;;;;;;;;;;;;;;;;;
 No.;Test Name;Type of Test;SCMFI;ILLUM.;Width;Height;No. Ips;FOI;ILLUM.;Width;Height;;L TOP X;L TOP Y;R TOP X;R TOP Y;L Bottom X;L Bottom Y;R Bottom X;R Bottom Y;Image Width;Image Height;Image Width;Image Height
1;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-CP1-270-330.JPG;CIL;330;400;CP;48;858;378;858;48;1258;378;1258;330;400;330;400
2;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-CV1-210-270.JPG;CIL;210;270;CV;1004;400;1214;400;1004;670;1214;670;210;270;210;270
3;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-DK1-264-324.JPG;CIL;290;390;DK;1074;772;1364;772;1074;1162;1364;1162;290;390;290;390
4;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-KV1-200-290.JPG;CIL;160;240;KV;554;628;714;628;554;868;714;868;160;240;160;240
5;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-MO1-274-342.JPG;CIL;340;400;MO;2076;864;2416;864;2076;1264;2416;1264;340;400;340;400
6;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-MS1-268-352.JPG;CIL;240;320;MS;2230;394;2470;394;2230;714;2470;714;240;320;240;320
7;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-MZ1-218-300.JPG;CIL;200;280;MZ;1664;518;1864;518;1664;798;1864;798;200;280;200;280
8;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-WS1-178-224.JPG;CIL;190;230;WS;1364;490;1554;490;1364;720;1554;720;190;230;190;230
9;ILLUMINATION II;Frontal;SCMFI-043-01-03.JPG;CIL;2592;1944;;SFI-CC1-200-230.JPG;CIL;200;200;CC;1882;450;2082;450;1882;650;2082;650;200;200;200;200
10;ILLUMINATION II;Frontal;SCMFI-043-01-03.JPG;CIL;2592;1944;;SFI-FP1-180-220.JPG;CIL;150;180;FP;1502;540;1652;540;1502;720;1652;720;150;180;150;180
11;ILLUMINATION II;Frontal;SCMFI-043-01-03.JPG;CIL;2592;1944;;SFI-AC1-154-220.JPG;CIL;180;220;AC;396;494;576;494;396;714;576;714;180;220;180;220
12;ILLUMINATION II;Frontal;SCMFI-043-01-03.JPG;CIL;2592;1944;;SFI-ES1-170-200.JPG;CIL;190;190;ES;1112;510;1302;510;1112;700;1302;700;190;190;190;190
13;ILLUMINATION II;Frontal;SCMFI-043-01-03.JPG;CIL;2592;1944;;SFI-AK1-190-250.JPG;CIL;144;170;AK;806;536;950;536;806;706;950;706;144;170;144;170
14;ILLUMINATION II;Frontal;SCMFI-079-01-03.JPG;CIL;2592;1944;;SFI-AL1-180-220.JPG;CIL;160;180;AL;1574;316;1734;316;1574;496;1734;496;160;180;160;180
15;ILLUMINATION II;Frontal;SCMFI-079-01-03.JPG;CIL;2592;1944;;SFI-GB1-164-208.JPG;CIL;160;190;GB;1130;400;1290;400;1130;590;1290;590;160;190;160;190
16;ILLUMINATION II;Frontal;SCMFI-079-01-03.JPG;CIL;2592;1944;;SFI-GK1-168-216.JPG;CIL;190;220;GK;820;316;1010;316;820;536;1010;536;190;220;190;220
17;ILLUMINATION II;Frontal;SCMFI-079-01-03.JPG;CIL;2592;1944;;SFI-JN1-212-264.JPG;CIL;180;220;JN;1354;398;1534;398;1354;618;1534;618;180;220;180;220
18;ILLUMINATION II;Frontal;SCMFI-079-01-03.JPG;CIL;2592;1944;;SFI-JP1-188-252.JPG;CIL;160;220;JP;146;470;306;470;146;690;306;690;160;220;160;220
19;ILLUMINATION II;Frontal;SCMFI-079-01-03.JPG;CIL;2592;1944;;SFI-NK1-178-218.JPG;CIL;190;200;NK;436;368;626;368;436;568;626;568;190;200;190;200
20;ILLUMINATION II;Frontal;SCMFI-079-01-03.JPG;CIL;2592;1944;;SFI-PR1-224-288.JPG;CIL;240;250;PR;2096;290;2336;290;2096;540;2336;540;240;250;240;250
;;;;;;;;;;;;;;;;;;;;;;;;
