;;;;;;;;;;;;;;;;;;;;;;;;
 No.;Test Name;Type of Test;SCMFI;ILLUM.;Width;Height;No. Ips;FOI;ILLUM.;Width;Height;;L TOP X;L TOP Y;R TOP X;R TOP Y;L Bottom X;L Bottom Y;R Bottom X;R Bottom Y;Image Width;Image Height;Image Width;Image Height
1;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-CP1-270-330.JPG;CIL;320;400;CP;50;860;370;860;50;1260;370;1260;320;400;320;400
2;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-CV1-210-270.JPG;CIL;210;270;CV;1010;402;1220;402;1010;672;1220;672;210;270;210;270
3;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-DK1-264-324.JPG;CIL;300;390;DK;1070;776;1370;776;1070;1166;1370;1166;300;390;300;390
4;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-KV1-200-290.JPG;CIL;160;230;KV;554;634;714;634;554;864;714;864;160;230;160;230
5;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-MO1-274-342.JPG;CIL;340;380;MO;2078;878;2418;878;2078;1258;2418;1258;340;380;340;380
6;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-MS1-268-352.JPG;CIL;240;330;MS;2230;392;2470;392;2230;722;2470;722;240;330;240;330
7;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-MZ1-218-300.JPG;CIL;210;270;MZ;1668;522;1878;522;1668;792;1878;792;210;270;210;270
8;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-WS1-178-224.JPG;CIL;190;230;WS;1360;490;1550;490;1360;720;1550;720;190;230;190;230
9;ILLUMINATION III;Frontal;SCMFI-044-01-04.JPG;CIL;2592;1944;;SFI-CC1-200-230.JPG;CIL;200;200;CC;1882;450;2082;450;1882;650;2082;650;200;200;200;200
10;ILLUMINATION III;Frontal;SCMFI-044-01-04.JPG;CIL;2592;1944;;SFI-FP1-180-220.JPG;CIL;150;180;FP;1502;540;1652;540;1502;720;1652;720;150;180;150;180
11;ILLUMINATION III;Frontal;SCMFI-044-01-04.JPG;CIL;2592;1944;;SFI-AC1-154-220.JPG;CIL;180;220;AC;396;494;576;494;396;714;576;714;180;220;180;220
12;ILLUMINATION III;Frontal;SCMFI-044-01-04.JPG;CIL;2592;1944;;SFI-ES1-170-200.JPG;CIL;190;190;ES;1112;510;1302;510;1112;700;1302;700;190;190;190;190
13;ILLUMINATION III;Frontal;SCMFI-044-01-04.JPG;CIL;2592;1944;;SFI-AK1-190-250.JPG;CIL;144;170;AK;806;536;950;536;806;706;950;706;144;170;144;170
14;ILLUMINATION III;Frontal;SCMFI-080-01-04.JPG;CIL;2592;1944;;SFI-AL1-180-220.JPG;CIL;160;180;AL;1574;316;1734;316;1574;496;1734;496;160;180;160;180
15;ILLUMINATION III;Frontal;SCMFI-080-01-04.JPG;CIL;2592;1944;;SFI-GB1-164-208.JPG;CIL;160;190;GB;1130;400;1290;400;1130;590;1290;590;160;190;160;190
16;ILLUMINATION III;Frontal;SCMFI-080-01-04.JPG;CIL;2592;1944;;SFI-GK1-168-216.JPG;CIL;190;220;GK;820;316;1010;316;820;536;1010;536;190;220;190;220
17;ILLUMINATION III;Frontal;SCMFI-080-01-04.JPG;CIL;2592;1944;;SFI-JN1-212-264.JPG;CIL;180;220;JN;1354;398;1534;398;1354;618;1534;618;180;220;180;220
18;ILLUMINATION III;Frontal;SCMFI-080-01-04.JPG;CIL;2592;1944;;SFI-JP1-188-252.JPG;CIL;160;220;JP;146;470;306;470;146;690;306;690;160;220;160;220
19;ILLUMINATION III;Frontal;SCMFI-080-01-04.JPG;CIL;2592;1944;;SFI-NK1-178-218.JPG;CIL;190;200;NK;436;368;626;368;436;568;626;568;190;200;190;200
20;ILLUMINATION III;Frontal;SCMFI-080-01-04.JPG;CIL;2592;1944;;SFI-PR1-224-288.JPG;CIL;240;250;PR;2096;290;2336;290;2096;540;2336;540;240;250;240;250
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
