;;;;;;;;;;;;;;;;;;;;;;;;
 No.;Test Name;Type of Test;SCMFI;ILLUM.;Width;Height;No. Ips;FOI;ILLUM.;Width;Height;;L TOP X;L TOP Y;R TOP X;R TOP Y;L Bottom X;L Bottom Y;R Bottom X;R Bottom Y;Image Width;Image Height;Image Width;Image Height
1;ILLUMINATION III;Frontal;SCMFI-016-02-04.JPG;CIL;2592;1944;;SFI-CP1-270-330.JPG;CIL;170;200;CP;172;460;342;460;172;660;342;660;170;200;170;200
2;ILLUMINATION III;Frontal;SCMFI-016-02-04.JPG;CIL;2592;1944;;SFI-CV1-210-270.JPG;CIL;220;270;CV;2210;367;2430;367;2210;637;2430;637;220;270;220;270
3;ILLUMINATION III;Frontal;SCMFI-016-02-04.JPG;CIL;2592;1944;;SFI-DK1-264-324.JPG;CIL;150;210;DK;1062;444;1212;444;1062;654;1212;654;150;210;150;210
4;ILLUMINATION III;Frontal;SCMFI-016-02-04.JPG;CIL;2592;1944;;SFI-KV1-200-290.JPG;CIL;230;310;KV;454;504;684;504;454;814;684;814;230;310;230;310
5;ILLUMINATION III;Frontal;SCMFI-016-02-04.JPG;CIL;2592;1944;;SFI-MO1-274-342.JPG;CIL;210;230;MO;680;422;890;422;680;652;890;652;210;230;210;230
6;ILLUMINATION III;Frontal;SCMFI-016-02-04.JPG;CIL;2592;1944;;SFI-MS1-268-352.JPG;CIL;200;290;MS;1334;452;1534;452;1334;742;1534;742;200;290;200;290
7;ILLUMINATION III;Frontal;SCMFI-016-02-04.JPG;CIL;2592;1944;;SFI-MZ1-218-300.JPG;CIL;320;410;MZ;1608;952;1928;952;1608;1362;1928;1362;320;410;320;410
8;ILLUMINATION III;Frontal;SCMFI-016-02-04.JPG;CIL;2592;1944;;SFI-WS1-178-224.JPG;CIL;150;190;WS;1670;544;1820;544;1670;734;1820;734;150;190;150;190
9;ILLUMINATION III;Frontal;SCMFI-048-02-04.JPG;CIL;2592;1944;;SFI-CC1-200-230.JPG;CIL;190;210;CC;978;530;1168;530;978;740;1168;740;190;210;190;210
10;ILLUMINATION III;Frontal;SCMFI-048-02-04.JPG;CIL;2592;1944;;SFI-FP1-180-220.JPG;CIL;250;290;FP;306;360;556;360;306;650;556;650;250;290;250;290
11;ILLUMINATION III;Frontal;SCMFI-048-02-04.JPG;CIL;2592;1944;;SFI-AC1-154-220.JPG;CIL;190;260;AC;1952;460;2142;460;1952;720;2142;720;190;260;190;260
12;ILLUMINATION III;Frontal;SCMFI-048-02-04.JPG;CIL;2592;1944;;SFI-ES1-170-200.JPG;CIL;170;170;ES;1600;602;1770;602;1600;772;1770;772;170;170;170;170
13;ILLUMINATION III;Frontal;SCMFI-048-02-04.JPG;CIL;2592;1944;;SFI-AK1-190-250.JPG;CIL;150;200;AK;706;562;856;562;706;762;856;762;150;200;150;200
14;ILLUMINATION III;Frontal;SCMFI-084-01-04.JPG;CIL;2592;1944;;SFI-AL1-180-220.JPG;CIL;240;270;AL;1132;704;1372;704;1132;974;1372;974;240;270;240;270
15;ILLUMINATION III;Frontal;SCMFI-084-01-04.JPG;CIL;2592;1944;;SFI-GB1-164-208.JPG;CIL;230;280;GB;458;750;688;750;458;1030;688;1030;230;280;230;280
16;ILLUMINATION III;Frontal;SCMFI-084-01-04.JPG;CIL;2592;1944;;SFI-GK1-168-216.JPG;CIL;200;260;GK;1530;250;1730;250;1530;510;1730;510;200;260;200;260
17;ILLUMINATION III;Frontal;SCMFI-084-01-04.JPG;CIL;2592;1944;;SFI-JN1-212-264.JPG;CIL;140;160;JN;1294;482;1424;482;1294;642;1424;642;130;160;130;160
18;ILLUMINATION III;Frontal;SCMFI-084-01-04.JPG;CIL;2592;1944;;SFI-JP1-188-252.JPG;CIL;180;230;JP;136;434;316;434;136;664;316;664;180;230;180;230
19;ILLUMINATION III;Frontal;SCMFI-084-01-04.JPG;CIL;2592;1944;;SFI-NK1-178-218.JPG;CIL;200;220;NK;466;336;666;336;466;556;666;556;200;220;200;220
20;ILLUMINATION III;Frontal;SCMFI-084-01-04.JPG;CIL;2592;1944;;SFI-PR1-224-288.JPG;CIL;260;270;PR;2040;246;2300;246;2040;516;2300;516;260;270;260;270
;;;;;;;;;;;;;;;;;;;;;;;;
