ID: 2020-03-06 17:09:24.957683	Date: 2020-03-06 17:09:24	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	2.0000	0.0400	1.0000	22436.7037
1	2.0000	0.1000	0.9944	31304.0624
2	2.0000	0.1000	0.9872	41232.9948
3	2.0000	0.1200	0.9681	53730.8807
4	2.0000	0.1400	0.9421	66158.0863
5	2.0000	0.1400	0.9423	77302.9084
6	2.0000	0.1400	0.9719	88820.4103
7	2.0000	0.1400	0.8959	100645.7887
8	2.0000	0.2000	0.9482	114398.2203
9	3.0000	0.3200	0.9287	127682.7867
10	3.0000	0.3800	0.8814	140116.6372
11	3.0000	0.4000	0.8866	152917.7682
12	3.0000	0.4200	0.8679	165750.5376
13	3.0000	0.5800	0.8713	180518.5201
14	4.0000	0.7600	0.8423	196828.8026
15	4.0000	0.9600	0.7958	213220.4072
16	4.0000	1.2400	0.7718	230022.9046
17	4.0000	1.2600	0.7939	245852.4473
18	4.0000	1.3400	0.7711	263231.4239
19	4.0000	1.5600	0.7468	283409.8375
20	4.0000	1.7200	0.7346	303764.5590
21	4.0000	2.0000	0.7387	325808.8257
22	6.0000	2.1200	0.7161	348762.6657
23	6.0000	2.2000	0.7208	370967.8082
24	6.0000	2.3400	0.7139	393560.0381
25	6.0000	2.4800	0.6833	418562.7584
26	6.0000	2.7400	0.6383	443217.5786
27	6.0000	2.8600	0.6373	467628.9377
28	6.0000	2.9000	0.6438	492359.2210
29	6.0000	3.0200	0.6319	517509.7821
30	6.0000	3.2000	0.6226	541991.8458
31	6.0000	3.3200	0.6174	567718.4112
32	6.0000	3.4000	0.6134	592728.1535
33	6.0000	3.5000	0.6251	618403.6996
34	6.0000	3.5800	0.6185	643461.7658
35	6.0000	3.7000	0.6162	668888.1814
36	6.0000	3.7200	0.6154	694284.1251
37	6.0000	3.7800	0.6059	718830.4708
38	6.0000	3.8000	0.5913	743782.4748
39	6.0000	3.8800	0.5768	769355.2670
40	6.0000	3.9000	0.5663	794910.5000
41	6.0000	3.9400	0.5697	819748.7881
42	6.0000	3.9600	0.5692	845172.9996
43	6.0000	3.9600	0.5697	870190.6044
44	6.0000	3.9800	0.5717	896113.3101
45	6.0000	4.0200	0.5785	921979.2898
46	6.0000	4.0200	0.5671	947343.1039
47	6.0000	4.0400	0.5701	972796.8626
48	6.0000	4.1200	0.5704	997738.5643
49	6.0000	4.1200	0.5704	1023334.8458
50	6.0000	4.1200	0.5648	1048506.4125
51	6.0000	4.1800	0.5663	1073536.9101
52	6.0000	4.1800	0.5652	1099340.3170
53	6.0000	4.1800	0.5646	1124900.1207
54	6.0000	4.2000	0.5713	1150867.7268
55	6.0000	4.2400	0.5716	1176446.4502
56	6.0000	4.2400	0.5621	1201543.2732
57	6.0000	4.2600	0.5585	1227064.0285
58	6.0000	4.2800	0.5537	1252595.3231
59	6.0000	4.2800	0.5571	1278222.4874
Pos: [415.2616688816286, 466.6035508117424, -7.811792784657354, 0.9896555721885959]

Run: 1
Iter	Gbest	AvrFit	Diver	ETime	
0	1.0000	0.0400	1.0000	28066.1733
1	1.0000	0.0600	0.9907	40707.7589
2	1.0000	0.1000	1.0000	54031.8532
3	2.0000	0.1600	1.0000	64636.4689
4	3.0000	0.2200	1.0000	72200.4564
5	3.0000	0.2800	0.9911	81016.3419
6	3.0000	0.3200	1.0000	92255.0087
7	3.0000	0.3400	0.9648	107829.9468
8	3.0000	0.3600	0.9485	120466.6302
9	3.0000	0.4000	0.9113	133055.9974
10	3.0000	0.4600	0.9210	148468.0631
11	3.0000	0.5400	0.9521	164936.7874
12	3.0000	0.5800	0.9430	184376.5101
13	3.0000	0.6200	0.9320	206403.1198
14	3.0000	0.6600	0.9455	228453.5193
15	3.0000	0.7400	0.9260	248528.2221
16	3.0000	0.8000	0.9287	269985.2414
17	3.0000	0.8400	0.9174	292000.2239
18	3.0000	0.9000	0.8726	314871.4705
19	3.0000	1.0800	0.8761	339359.7946
20	3.0000	1.1200	0.8920	359441.1376
21	3.0000	1.1600	0.8664	382338.7847
22	3.0000	1.2000	0.8797	403864.7206
23	3.0000	1.2200	0.8931	423946.1174
24	3.0000	1.2400	0.9046	444955.3521
25	3.0000	1.2600	0.9053	465606.6873
26	3.0000	1.3400	0.8907	485086.5839
27	3.0000	1.4200	0.8999	506704.5569
28	3.0000	1.4200	0.8807	528946.4316
29	3.0000	1.5000	0.8852	552934.7274
30	3.0000	1.5600	0.8726	576779.7408
31	3.0000	1.6400	0.8564	599232.9226
32	3.0000	1.6600	0.8525	621806.5009
33	3.0000	1.6800	0.8402	645792.9666
34	3.0000	1.7800	0.8482	670283.9954
35	3.0000	1.8400	0.8588	693851.1112
36	4.0000	1.9200	0.8480	717462.8799
37	4.0000	1.9600	0.8729	741375.4895
38	4.0000	2.0000	0.8566	763370.5971
39	4.0000	2.0000	0.8598	785925.4210
40	4.0000	2.0200	0.8754	810592.7956
41	4.0000	2.0800	0.8691	834060.9353
42	5.0000	2.1200	0.8769	856700.0124
43	5.0000	2.1400	0.8801	879225.4446
44	5.0000	2.1400	0.8857	900778.6744
45	5.0000	2.1800	0.8962	922798.4028
46	5.0000	2.1800	0.8739	945243.6891
47	5.0000	2.2000	0.8482	967323.8382
48	5.0000	2.2000	0.8622	988013.6273
49	5.0000	2.2400	0.8557	1010153.1301
50	5.0000	2.2400	0.8593	1032303.3729
51	5.0000	2.2600	0.8475	1054451.5634
52	5.0000	2.2800	0.8593	1077774.2476
53	5.0000	2.3400	0.8687	1102446.9879
54	5.0000	2.3600	0.8771	1125946.0897
55	5.0000	2.3800	0.8771	1147889.5316
56	5.0000	2.3800	0.8758	1171107.5771
57	5.0000	2.3800	0.8758	1194299.0916
58	5.0000	2.4000	0.8769	1219030.9293
59	5.0000	2.4000	0.8799	1243470.3546
Pos: [401.17156532661033, 654.7419213554065, -0.12946235456314348, 0.967804979947046]

Run: 2
Iter	Gbest	AvrFit	Diver	ETime	
0	1.0000	0.0800	1.0000	27560.5879
1	2.0000	0.1400	1.0000	40777.9357
2	2.0000	0.1400	0.9893	55859.3488
3	2.0000	0.1400	0.9686	71844.3425
4	2.0000	0.2000	0.9974	86348.7337
5	2.0000	0.2400	0.9960	97845.3269
6	2.0000	0.2600	0.9751	110780.5855
7	3.0000	0.4200	0.9552	126029.6581
8	3.0000	0.4200	0.9554	141374.5074
9	3.0000	0.4200	0.9677	156130.9848
10	3.0000	0.4600	0.9710	170757.5960
11	3.0000	0.5000	0.9406	188312.8023
12	3.0000	0.5400	0.9512	202876.3399
13	3.0000	0.6400	0.9335	221200.2759
14	3.0000	0.7000	0.9166	243250.4215
15	3.0000	0.7600	0.9248	263780.4215
16	3.0000	1.0200	0.8833	286789.8691
17	3.0000	1.1200	0.8987	309300.4749
18	3.0000	1.1800	0.9230	330794.5383
19	3.0000	1.1800	0.8830	353801.0633
20	3.0000	1.2600	0.8674	376340.3714
21	3.0000	1.4400	0.8522	397905.5157
22	3.0000	1.4800	0.8645	419830.3900
23	3.0000	1.5200	0.8642	439772.3386
24	3.0000	1.5200	0.8480	460633.0245
25	4.0000	1.6000	0.8668	483182.5962
26	4.0000	1.6200	0.8688	503744.3974
27	4.0000	1.7200	0.8469	525890.0516
28	4.0000	1.7800	0.8634	545518.2335
29	4.0000	1.8600	0.8635	568448.9956
30	4.0000	1.9200	0.8243	592647.7022
31	4.0000	1.9400	0.8144	617662.9777
32	4.0000	2.0200	0.8231	638839.6735
33	4.0000	2.0200	0.8154	660896.2996
34	4.0000	2.0200	0.8349	683631.5145
35	4.0000	2.0200	0.8418	705885.4508
36	4.0000	2.0200	0.8445	727957.2670
37	4.0000	2.0800	0.8283	748249.4524
38	4.0000	2.1000	0.7732	770124.7537
39	4.0000	2.1200	0.7732	790368.6216
40	4.0000	2.1600	0.7941	813763.2895
41	4.0000	2.1600	0.8060	834045.5570
42	4.0000	2.1600	0.8141	855103.9631
43	4.0000	2.1600	0.7873	879268.7085
44	4.0000	2.2000	0.7983	903523.1724
45	4.0000	2.2200	0.7987	926113.9486
46	4.0000	2.2600	0.8045	948817.3862
47	4.0000	2.2600	0.8098	971407.7833
48	4.0000	2.2600	0.8101	994546.8500
49	4.0000	2.2600	0.8257	1017242.5549
50	4.0000	2.2800	0.8384	1037633.9657
51	4.0000	2.2800	0.8384	1060633.2402
52	4.0000	2.3000	0.8353	1082696.1212
53	4.0000	2.3200	0.8348	1102857.8312
54	4.0000	2.3400	0.8197	1125471.8299
55	4.0000	2.3600	0.8329	1148515.0070
56	4.0000	2.4200	0.8448	1171137.6739
57	4.0000	2.4400	0.8566	1194848.0282
