ID: 2020-03-06 17:09:42.843218	Date: 2020-03-06 17:09:42	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	0.0000	0.0000	1.0000	5.6472
1	0.0000	0.0000	0.9929	10.8912
2	0.0000	0.0000	1.0000	16.0363
3	0.0000	0.0000	0.9989	21.2965
4	0.0000	0.0000	1.0000	26.4411
5	0.0000	0.0000	0.9269	31.5807
6	0.0000	0.0000	0.8567	36.8154
7	0.0000	0.0000	0.8032	41.9605
8	0.0000	0.0000	0.7769	47.1852
9	0.0000	0.0000	0.8526	52.3310
10	0.0000	0.0000	0.8887	57.5621
11	0.0000	0.0000	0.8729	62.7229
12	0.0000	0.0000	0.8865	67.8754
13	0.0000	0.0000	0.8819	73.1182
14	0.0000	0.0000	0.8346	78.2750
15	0.0000	0.0000	0.8378	83.4908
16	0.0000	0.0000	0.7587	88.6970
17	0.0000	0.0000	0.7211	93.9388
18	0.0000	0.0000	0.7399	99.0663
19	0.0000	0.0000	0.7248	104.2385
20	0.0000	0.0000	0.7501	109.3798
21	0.0000	0.0000	0.7653	114.5782
22	0.0000	0.0000	0.7992	119.8344
23	0.0000	0.0000	0.7399	124.9878
24	0.0000	0.0000	0.7479	131.4824
25	0.0000	0.0000	0.7064	136.6522
26	0.0000	0.0000	0.7330	141.9713
27	0.0000	0.0000	0.7819	147.4257
28	0.0000	0.0000	0.7729	152.7743
29	0.0000	0.0000	0.6974	157.7401
30	0.0000	0.0000	0.8339	162.2245
31	0.0000	0.0000	0.7683	166.7840
32	0.0000	0.0000	0.7660	171.1485
33	0.0000	0.0000	0.7280	175.5159
34	0.0000	0.0000	0.8264	179.9688
35	0.0000	0.0000	0.9553	184.3467
36	0.0000	0.0000	0.8500	188.8776
37	0.0000	0.0000	0.8845	193.2654
38	0.0000	0.0000	0.8014	197.6657
39	0.0000	0.0000	0.8208	202.1220
40	0.0000	0.0000	0.8495	206.5003
41	0.0000	0.0000	0.8808	212.4398
42	0.0000	0.0000	0.8889	216.8167
43	0.0000	0.0000	0.7938	221.2474
44	0.0000	0.0000	0.8742	225.6413
45	0.0000	0.0000	0.8376	230.6235
46	0.0000	0.0000	0.7366	236.2847
47	0.0000	0.0000	0.8822	240.7274
48	0.0000	0.0000	0.9877	245.1723
49	0.0000	0.0000	0.9273	250.1986
50	0.0000	0.0000	0.9630	254.6093
51	0.0000	0.0000	0.8001	259.7249
52	0.0000	0.0000	0.8545	264.8122
53	0.0000	0.0000	0.7703	270.1323
54	0.0000	0.0000	0.7731	275.3677
55	0.0000	0.0000	0.6992	280.0493
56	0.0000	0.0000	0.7121	285.2278
57	0.0000	0.0000	0.7287	291.8818
58	0.0000	0.0000	0.7074	296.5002
59	0.0000	0.0000	0.6498	300.8924
