ID: 2020-03-06 17:09:58.609899	Date: 2020-03-06 17:09:58	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	0.0000	0.0000	1.0000	5.6622
1	0.0000	0.0000	1.0000	11.5473
2	0.0000	0.0000	0.8828	17.2439
3	0.0000	0.0000	0.9365	22.5143
4	0.0000	0.0000	0.9238	27.6868
5	0.0000	0.0000	0.9203	33.2935
6	0.0000	0.0000	0.9704	39.2385
7	0.0000	0.0000	0.9869	44.3845
8	0.0000	0.0000	1.0000	50.2367
9	0.0000	0.0000	0.9751	56.3965
10	0.0000	0.0000	1.0000	61.9130
11	0.0000	0.0000	0.8897	67.5378
12	0.0000	0.0000	0.8851	72.8226
13	0.0000	0.0000	0.8866	78.4621
14	0.0000	0.0000	0.8003	83.7655
15	0.0000	0.0000	0.7210	88.9666
16	0.0000	0.0000	0.8278	94.5792
17	0.0000	0.0000	0.7725	100.7209
18	0.0000	0.0000	0.6996	106.2095
19	0.0000	0.0000	0.8857	111.4016
20	0.0000	0.0000	0.8267	117.0242
21	0.0000	0.0000	0.7645	122.2768
22	0.0000	0.0000	0.8224	127.4459
23	0.0000	0.0000	0.8165	133.0087
24	0.0000	0.0000	0.8128	138.9403
25	0.0000	0.0000	0.7040	144.2993
26	0.0000	0.0000	0.7438	149.5390
27	0.0000	0.0000	0.8518	155.2896
28	0.0000	0.0000	0.8346	160.4733
29	0.0000	0.0000	0.8991	165.7248
30	0.0000	0.0000	0.8880	171.2484
31	0.0000	0.0000	0.7962	177.4075
32	0.0000	0.0000	0.7420	182.6880
33	0.0000	0.0000	0.7295	189.0514
34	0.0000	0.0000	0.7055	194.2844
35	0.0000	0.0000	0.6918	199.4658
36	0.0000	0.0000	0.6875	204.9294
37	0.0000	0.0000	0.7687	211.9322
38	0.0000	0.0000	0.7769	217.9511
39	0.0000	0.0000	0.6642	223.1603
40	0.0000	0.0000	0.7674	228.4741
41	0.0000	0.0000	0.7480	235.4918
42	0.0000	0.0000	0.7184	241.8294
43	0.0000	0.0000	0.8151	246.9959
44	0.0000	0.0000	0.7867	252.7726
45	0.0000	0.0000	0.7392	259.2754
46	0.0000	0.0000	0.7746	264.6153
47	0.0000	0.0000	0.6963	269.8328
48	0.0000	0.0000	0.6910	275.3482
49	0.0000	0.0000	0.7363	282.1593
50	0.0000	0.0000	0.7503	287.4582
51	0.0000	0.0000	0.6641	292.7082
52	0.0000	0.0000	0.7029	298.4684
53	0.0000	0.0000	0.5836	304.5609
54	0.0000	0.0000	0.6692	309.9122
55	0.0000	0.0000	0.6535	315.1217
56	0.0000	0.0000	0.7336	321.0990
57	0.0000	0.0000	0.7871	326.3741
58	0.0000	0.0000	0.7632	331.5477
59	0.0000	0.0000	0.7520	337.1944
Pos: [115, -50, 60, 0.9195548999927682]

Run: 1
Iter	Gbest	AvrFit	Diver	ETime	
0	0.0000	0.0000	1.0000	6.4721
1	0.0000	0.0000	0.9289	11.6708
2	0.0000	0.0000	0.9770	16.8211
3	0.0000	0.0000	0.8977	22.5348
4	0.0000	0.0000	0.9402	28.5437
5	0.0000	0.0000	0.8475	33.8657
6	0.0000	0.0000	0.9083	39.0713
7	0.0000	0.0000	0.8999	45.0413
8	0.0000	0.0000	0.9676	50.1900
9	0.0000	0.0000	0.9439	55.3322
10	0.0000	0.0000	1.0000	60.9627
11	0.0000	0.0000	0.8612	66.9277
12	0.0000	0.0000	0.7714	72.2766
13	0.0000	0.0000	0.9419	77.4331
14	0.0000	0.0000	0.9626	84.2869
15	0.0000	0.0000	0.9023	89.4554
16	0.0000	0.0000	0.9262	94.6579
17	0.0000	0.0000	0.9721	100.0600
18	0.0000	0.0000	0.9867	106.1492
19	0.0000	0.0000	0.8894	112.4365
20	0.0000	0.0000	0.8889	117.5904
21	0.0000	0.0000	0.8676	123.0135
22	0.0000	0.0000	0.9661	128.4175
23	0.0000	0.0000	1.0000	133.5855
24	0.0000	0.0000	1.0000	138.7312
25	0.0000	0.0000	0.9174	144.6278
26	0.0000	0.0000	0.9415	150.2292
27	0.0000	0.0000	0.9863	155.3934
28	0.0000	0.0000	0.9572	160.6035
29	0.0000	0.0000	0.9562	165.7827
30	0.0000	0.0000	0.8445	170.9676
31	0.0000	0.0000	0.7812	176.1818
32	0.0000	0.0000	0.8098	182.8716
33	0.0000	0.0000	0.8378	188.0360
34	0.0000	0.0000	0.8796	193.2094
35	0.0000	0.0000	0.8870	198.6814
36	0.0000	0.0000	0.9008	204.7591
37	0.0000	0.0000	0.7607	210.0153
